title	summary	score	published	tickers	open	close	percent	sentiment	fin	fin2
Электромобильный стартап Arrival экс-главы Yota уйдет из России	Британский электромобильный стартап Arrival, который основал экс-глава телекоммуникационного оператора Yota и бывший замминистра связи Денис Свердлов, намерен прекратить деятельность в России, сообщает Financial Times.	-0.5833333333333333	2022-05-12	ARVL	1.53	1.38	-9.803921568627459	[-0.40116731]	-5.109077581869422	-2.7519784318257434
Экс-глава НМТП рассказал о «напряженных отношениях» братьев Магомедовых	Экс-председатель совета директоров Новороссийского морского торгового порта (НМТП) рассказал в Хамовническом суде о напряженных отношениях между братьями Магомедовыми. В суде рассматривают иск Генпрокуратуры по изъятию $750 млн.	-0.3142857142857143	2022-05-20	NMTP	5.56	5.315	-4.406474820143871	[-0.31428571]	-1.6277922132865434	-1.627792179210001
Шрёдер отклонил предложение войти в совет директоров «Газпрома»	Его кандидатуру выдвинули в начале февраля. Как пишет Focus, Шрёдер сообщил, что отказался от предложения давно	-0.3333333333333333	2022-05-24	GAZP	263	250.4	-4.790874524714827	[0.22375635]	-1.8742548942481632	5.334090515952955
Шельф берут в разработку // Генподрядчиком «Газпрома» на море может стать компания Андрея Патрушева	Как стало известно “Ъ”, «Аврора» Андрея Патрушева под новым названием «Газпром шельфпроект» может стать основным подрядчиком «Газпрома» по бурению на шельфе. Под ее управление перейдет нынешний флот плавучих буровых платформ и судов снабжения «Газпром флота». Компания может консолидировать заказы «Газпрома» и НОВАТЭКа по бурению в акватории арктических морей. В «Газпром шельфпроекте» заявили “Ъ”, что рассчитывают стать «специализированным центром инженерно-технических компетенций для выполнения работ на морских месторождениях».	0.7	2022-07-29	GAZP	193.5	196.8	1.7054263565891532	[0.7]	11.49634554791971	11.496345534387007
"Чистый убыток ""Юнипро"" в 1 полугодии 2022 года по РСБУ составил 12,8 млрд рублей"	"Чистый убыток ""Юнипро"" в 1 полугодии 2022 года по РСБУ составил 12,8 млрд рублей против прибыли в размере 7,79 млрд рублей в 1 полугодии 2021 года, сообщила компания. Убыток связан с проведенным в 1 квартале 2022 года обесценением активов в сумме 32 млрд рублей в результате изменения прогноза макроэкономических показателей на фоне геополитической обстановки.
Валовая прибыль за 1 полугодие текущего года увеличилась на 60,8% и составила 16,7млрд рублей.
В 1 полугодии 2022 года выручка ""Юнипро"" увеличилась на 20,9% по отношению к аналогичному периоду прошлого года и составила 54,7 млрд рублей."	-0.6111111111111112	2022-07-28	UPRO	1.425	1.49	4.561403508771926	[-0.61111111]	-5.468502324938452	-5.468502342607011
Чистая прибыль ТГК-2 по РСБУ в 1 полугодии 2022 года сократилась на 41,6%	"Чистая прибыль ТГК-2 по РСБУ в 1 полугодии 2022 года сократилась на 41,6% в годовом сопоставлении - до 1,642 млрд рублей, следует из отчетности компании.
Выручка снизилась до 22 млрд 869,3 млн рублей  это на 5,3%, чем в аналогичном периоде 2021 года.
В 1 квартале 2022 года чистая прибыль составила 2 млрд рублей против 2,6 млрд рублей годом ранее."	-0.03448275862068967	2022-07-29	TGKB	0.00379	0.003785	-0.13192612137202628	[-0.03448276]	1.992659582908286	1.9926596041105056
"Чистая прибыль ""РусГидро"" по РСБУ за 1 полугодие выросла на 17%"	"По итогам первого полугодия 2022 года чистая прибыль ""РусГидро"" поРСБУ выросла на 17%, до 34,7 млрд рублей, показатель EBITDA увеличился на 13% до 56,3 млрд рублей, сообщила компания.
Выручка без учета надбавки к цене на мощность в I и II ценовых зонах, установленной для достижения на территориях ДФО базовых уровней цен на электроэнергию, за первое полугодие 2022 года составила 82,9 млрд рублей, что на 10% выше показателя за аналогичный период прошлого года. Изменение обусловлено началом реализации с 1 марта 2022 года электрической энергии Нижне-Бурейской ГЭС, ростом выработки электроэнергии гидроэлектростанциями в ряде макрорегионов России, а также ростом цен РСВ во II ценовой зоне, что позволило компенсировать падение выработки на фоне низкой водности в реках Сибири.
Стоимость активов компании по итогамI полугодия увеличилась на 20,1 млрд рублей, до 1 056,6 млрд рублей. Собственный капитал вырос на 1% до 838,8 млрд рублей.
Размер кредитного портфеля ""РусГидро"" уменьшился по сравнению с показателем на 31 декабря 2021 года на 14% и составил 98,3 млрд рублей, из которых долгосрочные заемные средства составляют около 50%."	0.6818181818181819	2022-07-28	HYDR	0.7619	0.7748	1.693135582097391	[0.11246388]	11.261085716092712	3.89404486608942
Финский производитель шин Nokian Tyres решил уйти из России	Компания пришла на российский рынок в 2005 году. Свои активы в России и Белоруссии она оценивает в €400 млн	-0.411764705882353	2022-06-28	NOK	4.89	4.79	-2.0449897750511177	[-0.41176471]	-2.8891012276195394	-2.8891012520406623
Финляндия отворачивается от «Газпрома» // Страна отказалась платить за газ в рублях	Финская Gasum объявила, что не будет платить за российский газ в рублях, и готовится к остановкам поставок из РФ. В результате Финляндия может присоединиться к Польше и Болгарии, которым «Газпром» прекратил поставки в апреле. Gasum при этом собирается перенести в арбитраж прошлогодний спор с «Газпромом» по условиям долгосрочного контракта. Тем временем крупнейшие клиенты «Газпрома» в Германии и Италии начали открывать счета в Газпромбанке, чтобы платить за российский газ по новым условиям.	-0.7142857142857142	2022-05-17	GAZP	269.42	264.84	-1.699948036522916	[-0.71428572]	-6.8035085134805575	-6.803508524217759
Федун ушел с поста вице-президента ЛУКОЙЛа на пенсию	После ухода с поста, который Федун занимал более 25 лет, бизнесмен останется акционером компании. Ранее в отставку ушел и президент ЛУКОЙЛа Алекперов	-0.025641025641025605	2022-06-27	LKOH	4100	4096	-0.0975609756097561	[-0.23044425]	2.107065336670311	-0.5429431914019829
